Nama,No telepon
BARISCAN GLOBAL USAHA,62-031-70222180
BARLAD,62-341-402226
BASKET ETC LTD,62-341-567037
BE GOLD N GLAMOUR,62-31-70664556
BENSAN MANDIRI,62-31-8688571
BERINGINMAS,+62-31-5982293
BERJAYA SUKSES MAKMUR,62-031-8663403
BERKAT JAYA,62-31-8796398
BHAGASKARA ART PRODUCTION,62-321-494864
BIMA,62-81-1359532
BINA SAMPURNA BERSATU,62-6523-0044388
BINA SATRIA ABADI SENTOSA PT,62-31-7912424
BINACITRA,62-21-6333012
"BINATAMA SAMUDERA SURYA, PT",62-31-3547281
BINTANG BAMBU,62-0355-327156
BINURI PRATAMA,62-354-446319
"BIOMASS HEALTHY LESTARI, CV.",62-31-8415322
BITBYTE,62-351-7791835
BLESSING,62-31-8490767
BLOOMING INDONESIA,62-341-7650447
BLUE MOUNTAIN,62-31-5329031
BORNEO JAYA COAL,62-0341-414566
BRAHMANA CORP,62-31-60441220
"BRENADA TUNGGAL MANDIRI, CV.",62-31-8791718
BRONSON LOLLIES AND CHOCOLATES,62-341-491917
BUKI JAYA CV,62-31-7481379
BUMI ARTHA PENDAWA INTERNATIONAL,62-31-71585087
BUMI INDO,62-321-321706
BUMI JAYA,62-31-8794610
BUMI MAHARDIKA,62-354-411177
BURUNG MERPATI,62-341-365500
C. V. KENCANA INDAH,62-31-5467875
C. V. SUMBER MAKMUR INTERNASIONAL COMPANY,62-31-70243888
C.V PAKIS KARUNIA,62-31-5673140
C.V. AGRO MINA MANDIRI,62-81-23023423
C.V. RAJA MANGGIS,62-333-424092
CAHAYA ABADI EMAS,62-31-70057831
CAHAYA MAKMUR,62-341-362976
CAHAYA MAS MAKMUR,62-31-70608037
CAHAYA PLASTIK,62-31-5054254
CAHAYA PUTERA,62-031-5051378
CAI COMOMODITY,62-643-632566
CAI MINING,62-31-60141774
"CAKRA MANUNGGAL BHAKTI, PT",62-31-8287549
CAMILLA CV,+62-31-70418581
CANDI AGOENG,62-31-8668397
CANDI JAYA AMERTA II PT,62-343-858320
CAPSULE CONSOLES SHOP,62-341-493099
CATHAY INDO CHITIN,62-81-1351029
CATHAY INDO CHITIN,61-08-94562359 (+62-61-08-94562359)
CELEBES UTARA INTERNASIONAL,62-31-71000714
CENIK GALLERY,62--8123505490
CENTRAMA,+62--081334955582
CENTRIS BROADCAST CONSULTANT,62-031-60463248
CHARISH,62-031-70647733
CHRISTINA COLLECTION,62-31-8288181
"CING FONG, CV.",62-31-3815183
CIPTA KARYA SELARAS,62-341-802021
CISERU FURNITURE,62-31-7527001
CITRA BARA NUSANTARA PT,62-31-7348500
CITRA RASA INDONESIA,62-031-71514859
CITRA_AMPEL,62-031-3526101
CLARA FASHION,62-31-3737046
COLUMBUS RATTAN EXCO,62-0341-458186
"CONNELL MULTI TRADE, CV",62-81-23235885
CONTINENTAL TIMBER.,62-81-803047607
CRISTO,62-031-7341332
CUBIC CLOTHING,62-31-5932715
CV ADI BUANA CEMERLANG,62-341-480254
CV AGRI SIDOARJO MAKMUR,62-21-5708525
CV ALTOS,62-341-414628
CV ANEKA SPUNBOND MAKMUR,62-31-5316157
CV ANWAR,62-341-7647640
CV APOLLO,62-274-36940
CV BAYU MITRA AMARTA,62-0341-7013090
CV BINA MITRA USAHA,62-31-71567886
CV BOGA JAYA,62-31-7669805
CV BONE UTAMA,62-031-8535208
CV DEWI RATIH,62-31-70794470
CV DIRGAHAYU MFG. CO,62-31-5482003
CV DWIJAYA PERKASA ABADI,62-31-7344841
CV ERRATUM PERDANA,62-31-5031152
CV GANESHA,62-31-5326274
CV GLOBAL ACCESS INDONESIA,62-31-70008508
CV HERO SEJAHTERA,62-341-6100880
CV INDO PERSADA,62-31-5342953
CV INDOCHARCOAL JAYA ABADI,62-31-71270301
CV INTI PRIMA,62-31-3522599
CV KARAGEN INDONESIA,62-24-7628231
CV KARYA PERDANA,62-31-5926971
CV KAWAN SEJATI,62--08563331942
CV KELAPA EMAS INDONESIA,62-31-5996350
CV LAMBANG MAS,62-31-5611075
CV MALANG MITRA MANDIRI,62-341-336226
CV MAXCOM,62-0888-5135314
CV MICO INTERNATIONAL,62-31-7104883
CV MULTI CHEMICALS INDONESIA,62-31-8416796
CV NARSYKA GEMILANG,62-031-71170255
CV PRIMA JATI,62-31-3522599
CV PULAU HIJAU,62-31-5681678
Undefined,62-31-5681678
CV QUADRA ADIKARYA,62-31-5346094
CV RUKUN MULYA,62-081-55274492
CV SANGGAR KONSULTAMA,62-31-5940871
CV SEHAT MANDIRI TIMBER,62-31-60203331
CV SURABAYA LAUT TRADE,62-31-7209 1814
CV SURYA ABADI,62-0354-411072
CV TIGA BERSAUDARA,62-31-5454932
CV TIRTA MANDIRI,62-31-5933156
CV VISINIAGA MITRALINTAS,62-31-8434080
CV WAHANA LINTAS NIAGA,62-811-374147
"CV, ANUGRAH ABADI",62-31-5921426
CV. ABADI CHARCOAL,62-0343-631328
CV. AGAR SARI JAYA,62-341-400575
CV. ALLBATH,62-31-3988257
CV. AMANAH JAYA,62-31-7669794
CV. ANEKA MEDIA DIGITAL,62-81-6503133
CV. ANUGRAH ABADI,62-341-793445
CV. ARBETA INDO RAYA,62-81-8376111
CV. BALI SPOT INTERNATIONAL,62-341-551209
CV. BARA PERSADA,62-343-6351
CV. BARUNA SAMUDERA JAYA,62-31-8051238
CV. BARUNA SAMUDERA JAYA,62-31-8051238
CV. BERINDO,62-333-631625
CV. BERJAYA RAIH SUKSES,62-251-318846
CV. BLAMBANGAN KARIMAH MUDA,62-333-420651
CV. BP. MANDIRI,62-358-772031
CV. BUDI KURNIA JAYA,62-31-8483885
CV. CATUR MITRA PERKASA,62-31-70726667
CV. CENTRALLAC,+62-31-3713198
CV. CENTURY TRADING SURABAYA,62-31-5941220
CV. CHIPPY JAYA,62-31-8791351
CV. CIMITRA,62-31-3816020
CV. CIPTA MANUNGGAL GROUP,62-31-7315036
CV. CITRA UTAMA ABADI,62-31-60103872
CV. FAJAR,62-0334-884309
CV. GEMINI TECH INDONESIA,6231--3991129
CV. GIOVANNI SUKSES MAKMUR,62-31-60108312
CV. GLOBAL KENCANA,62-31-5019536
CV. GOTONG ROYONG PERKASA,62-31-5315901
CV. GRAVITY MERINDO,62-31-70906238
CV. HADI JAYA MARKET GROUP,62-31-71039882
CV. HAGO MITRA ABADI,62-31-3283400
CV. HARAPAN MAJU,62-31-71230990
CV. HARUN MAJU KARYA,62-31-8061268
CV. HASIL KARYA BERSAMA,62-31-70411383
CV. ILHAM TEKNIK,62-031-7662109
CV. INDAH PRATAMA,62-31-39625421
CV. INDO NIAGA ABADI,62-31-70125500
CV. INDOANTIQUE,+62-31-70042564
CV. INDOCENTRA AGROPRIMA,62-818-384457
CV. INTI RASA,+62-321-3826888
CV. JAVABALI,62-31-5033037
CV. JAWA DISTRIBUSI INTERNASIONAL,62-341-836482
CV. KARUNA MENTARI,62-31-5671868
CV. KARYA MAKMUR SENTOSA GROUP,62-81-23142315
CV. KIDUNG AGUNG,62-341-721665
CV. KORIN INTI WIRA ENGINEERING,62-31-8706492
CV. LESTARI SADEAN INTERNATIONAL,62-355-396390
CV. MAJU BERSAMA,62-8133-3032333
CV. MALANG CAMP MULTIMEDIA,62-341-411892
CV. MEGA LESTARI PLASINDO,62-321-875497
CV. MEGA LESTARI PLASINDO,62-321-875497
CV. MEKATRON,62-31-7329165
CV. MENTARI,62-031-7311261
CV. MINAMI NUSA FLORA,62-341-791615
CV. MULTI EKSPERINDO KARYA AGUNG,62-031-5020835
CV. MUSTIKA GEMILANG INDONESIA,62-031-8971890
CV. PACIFIC INDOCHEM,62-31-70492115
CV. PALMAR,62-31-8290174
CV. PANCA TUNGGAL PERKASA,62-031-8703611
CV. PARTIGA,62-31-70913591
CV. PERKASA ABADI SENTOSA,62-31-71136532
CV. PLASA GAMES,6231-532-1823
CV. PUTRA MANUNGGAL JAYA,62-031-08883721427
CV. RIFAT,62-31-7889750
CV. SAMEGO,62-31-7042 3885
CV. SAMSON NIKO SANTOSO,62-31-70579091
CV. SAMSON NIKO SANTOSO,62-31-70579091
CV. SAMUDRA BERLIAN,62-31-70441222
CV. SAMUDRA PRINTAMA,62-31-5014521
CV. SAP,62-343-659659
CV. SEGAH PRATAMA,62-31-5964168
CV. SEVEN EASTERN STARS,62-31-3716100
CV. SILVER KING,62-31-70684170
CV. SLAMET JAYA ABADI,62-031-7006222
CV. SONO PRIMA,62-353-881685
CV. SULTAN FAID,62-31-5930061
CV. SUMBER ARTHA,62-31-7417962
CV. SUMBER ASIA,62-31-7882417
CV. SURABAYA LAUT TERANG,62-31-7534520
CV. SURYA KENCANA,62-31-7345693
CV. SURYA MANDIRI RATTANINDO,62-85-230008597
CV. SURYA PRATAMA,62-31-8070578
CV. TIARA MAS ABADI,62-31-5687001
CV. TILAPHYA,62-031-60614007
CV. TUNAS BERDIKARI,62-31-5995948
CV. UNGGUL ABADI,62-031-70588903
CV. VIMA SEJAHTERA,62-333-594707
CV. VISINIAGA MITRALINTAS,62-31-8438173
CV. WIJAYA SUKSES,62-342-808492
CV. WISE (WIDJAJA SENTOSA),62-31-60149111
CV. ZHEN INDONESIA,62-31-8418146
CV.AGRO MAJU MANDIRI,62-0351-7788731
CV.APOLLO,62-31-5452385
CV.ARJUNS,62--817799194
CV.BAGUS ANUGRAH AGUNG,62-31-5939988
CV.BAHARI PERTIWI JAYA,62-031-5982204
CV.BURTON INDONESIA,62-0321-392089
CV.DHERTA BISNIS INDONESIA,62-31-8544029
CV.DIAN JAYA,62-031-7886367
CV.INDOJAVA,62-31-5033037
CV.INDOPERKASA ABADI,+62-812-3222870
CV.JAYA PERKASA,62-31-7343086
CV.KURNIA ABADI,62-31-8275815
CV.LUCKY ATV,62-231-242005
Undefined,62-231-242005
CV.MUTIARA,62-338-679054
CV.MUTY MASIHOL JETSKI,62-31-646340
CV.PAPAN ALAM INDONESIA,62-031-8991466
CV.PHENIX,62-31-71052645
CV.PRODUKTIF,65--91875930 (+62-65--91875930)
CV.PUDJI PERKASA,62-31-60662922
CV.SAMARINDA MANDIRI,62-31-7490209
CV.SILVER TUNGGAL NABOLON,62-031-3553281
CV.SURYA PRATAMA INTERNASIONAL,62-31-5021244
CV.TRIPADU ADI NUGRAHA,62-31-7535019
CV.USAHA MURNI,62-31-5662187
CV.WIJAYA KARYA,62-31-5940732
CV.WIM,62818-038-24077
CZAR TRADING,62-31-371-6709
D&D MARKETING,62-31-3716125
D_IAN_JAYA,62-081-8398945
DAMAI SEJAHTERA,62-0341-415511
DAMAI SEJAHTERA AQUACULTURE,62-31-70797120
DATADIGI,62-31-5326164
DE GLACE,62-031-8666216
DE JAVA CRAFT,62-818-588538
DE TANJUNG HANDICRAFT&DECORATION,62-81-23146147
"DE UNIQUE CORP.,",62-21-99682877
DE_LIANA,62-31-70745677
DENNIS & CO,62-031-71015300
DESAIRE INDONESIA,62-31-71323718
DEVI GALLERY,62-31-70992777
DEWITRADE,62-31-8439004
DHAXS COMPANY,+62-061-749259257
DIAMOND PARABOLA,62-31-3892990
DIAN ABADI,62-31-7533686
"DIGJAYA ADI LESTARI, CV",62-031-8419970
Undefined,62-031-8419970
DIORAMA,62-31-5326400
DIVA BARU,62-31-60101061
DOMUS FURNITURE INDONESIA,62-31-70990686
DOPE BEST FURNITURE,62-333-847211
DOTULONG LTD,62-81-70516210
DOTULONG LTD,62-31-8412676
DREAM'Z,62-031-5687500
D'SAIN,62-81-23279299
DUHAN CORPORATION,62-31-5949842
"DUTA NYATA SEJAHTERA, CV",62-31-70278175
DWI CIPTA NUGRAHA,62-31-7913958
DWIJAYA PERKASA ABADI,62-31-7344841
E.J.L,62-31-7490911
EAST JAVA GALLERY,62-31-8295317
EAST JAVA QUALITY CONTROL,62-331-7755949
ECDIGITALS GROUP,62-315-4699880
ECU LINE INDONESIA,62-31-3284350
EDEN 9 INTERNATIONAL,62-331-485-687
EKA SEAFOOD INDONESIA,62-31-72042896
EMANUEL MULTI SARANA,+62-31-7348563
EMPORIUM INDONESIA,62-31-7328967
ERA REAL ESTATE,62-031-70186071
ERENT GROUP,62-31-8066066
EROTSUGROUP,62-031-71442840
ESTEEM BAG & WRAPPING,62-31-71589889
ESTEEM SUPPLIES,62-31-71589889
ETERNAL STAR,62-031-70127444
ETNIQUE,62-31-60104339
E-TRADING,62-31-8438080
EXIM INTERNATIONAL CONSULTING CO. LTD.,62-21-4252659
EXINDO GLOBAL PERTAMA,62-31-7499042
EXINDO GLOBAL PERTAMA,62-031-7498424
FAREAST MARINE & FISHERY,62-31-8299709
FERTILINDO JAYA MAKMUR,62-31-70577998
FIESTO INFORMATIKA INDONESIA,62-31-5037020
FIESTO INFORMATIKA INDONESIA,62-31-5037020
FIRSTORE INC.,62-31-8885516
FOREVER GREEN CO. LTD,62-341-791645
FORINDO PANDUTAMA TEXTILE,62-031-60732599
FORTAN TRADING CO.,62-31-5930435
"FORTUNA SAKTI INDO JAYA, CV",62-31-72180887
FORTUNINDO INTERNATIONAL,62-81-5507-9191
FORTUNTEX JAYA,62-31-8979732
FOSCA SPA FACTORY,62-31-60470923
FRATERNITEGROUP,62-31-8946789
FRESHINDO GLOBAL FOOD INDONESIA,62-31-72042896
FRESHINDO INDONESIA,62-31-60110921
FRONTIER GLOBAL INDONESIA,62-31-849-3230
GAFF CO.,62-031-5045784
GARUDA KERTANEGARA,62-811-321421
GARUDA TUNGGAL PERKASA,62-341-553132
GARY RUBBER MAS,+62-811-333606
"GEMA ISTA RAYA, CO.LTD.",62-343-411998
GENERAL FURNITURES,62-031-8535861
GENERAL TRADING COMPANY,62-31-5993517
GG NASIONAL INDONESIA CORP.,62-31-5675225
GIANTCHESS. COM,62-81-1305397
GIFTIT,62-031-7510351
GIOVANNY BED SHEET,62-31-5615580
GLOBAL ACCESS,62--8165403403
GLOBAL ACCESS,62-31-70975015
GLOBAL ASIA TRADING,62-21-71356888
GLOBAL BUSINESS CORPORATION,62-31-70808857
GLOBAL BUSINESS SOLUTION,62-31-70573637
GLOBAL EXIM,62-31-8202 101
GLOBAL FRUITS,62-0815-3884321
GLOBAL FRUITS,62-0815-3884321
GLOBAL INDO TRADING LTD,62-31-5930438
GLOBAL INTERTAMA CV,62-031-8497919
GLOBAL SYNERGY,62-31-70017392
GLOBAL SYNERGY LTD,62-31-70472217
GLOBALINDO,62-31-60223360
GLOBALINDO. CO. LD,62-818-02750229
Undefined,62-818-02750229
GLOBE COMMERCIAL CORP.,62-31-7495085
GLORY KARYA ANUGERAH,62-341-7722500
GO KOMPUTER,62-31-3814624
GOLDEN DRAGON BIRD'S NEST,62-31-70992297
"GOLDEN EGG, CO.",62-31-60170097
GOLDEN HASTA,62-81-23013540
GOLDEN JAYA RUBBER,62-031-60548900
GOLDEN SHUTTLECOCKS,62-341-7577315
GOLDMEDIAFX GROUP,62-81803114-136
GOLF GALLERY,62-31-5314753
GOODDECENNIAL LTD,62-31-70918241
GOODWILL TRUSTINDO PT,62-31-70904082
GRACE P/L,62-31-70992290
GRAHA BUMI,62-031-5931434
"GRAVITY MERINDO, CV.",62-31-70906238
GREAT DIVIDING RANGE,62-31-8011226
GREAT OCEANIA,62-31-8716005
GREENWOODENS FURNITURE,62-31-5326164
GSI TRADING CO,62-31-70698465
G-TRUST,62-0341-552303
GUMAY,62-31-8535651
GREENMERCHANT,62-31-8012562
GUNADI TRADE HOUSE,62-333-461127
"GUNUNG BATU RESOURCES, PT",62-31-70911161
GUNUNG MARMER RAYA,62-31-5311405
GWAN_MEI COORPERATION,62-81-55133961
HAL MAR SANITARY,62-31-5325460
HAND_MADE_METALCRAFT,62-31-5313851
HANDONO ELEC.,62-031-3556121
Undefined,62-031-3556121
Undefined,62-031-3556121
HARPA PLASTIC,+62-343-295100
HARTONO JAYA.CV,62-031-70369447
"HARUM JAYA,CV",62-31-70637772
HEALTHY ONE HEALTH STORE,62-31-70189333
HEND'S DESIGN,62-81-55011807
HENKA INDONESIA,62-31-7316268
HERU COMMODITIES INDONESIA,62-31-72042896
HERUEKA FURNISHING,62-31-72042896
HOBBY LAND,62-31-70997787
Undefined,62-31-70997787
Undefined,62-31-70997787
HRL INTERNATIONAL,62-31-8971668
HSPT,62-31-7318187
ICON MULTI DESIGN,62-31-70671177
ICS-GROUP,62-031-8532200
IDEA JAYA MANDIRI,62-31-60217701
IGGI PTE,62-31-7498107
IKATS,62-31-8966118
IKC-PERHUTANI,62-296-421323
IMAJI,62-31-5682165
IMCYN JAVA MINING COMPANY,62-852-36306767
INABEC-PT KARAT NGAGEL,62-31-7666678
INASTONE MULTI ENTERPRISE,62-31-5328777
INDAH ALAM TRADING,62-31-70195586
INDAH FURNI RAYA,62-35-6700 8571
INDAH HANDYCRAFT,62-31-70393655
INDAH JAYA MANDIRI,62-31-70677067
"INDAHSUKSES, PT",62-812-3359002
INDAL ALUMINIUM INDUSTRY,62-31-60111311
INDI COAL,62-31-85850081585
INDO ARTISTICS,62-81-330590075
INDO BEAUTY,62-31-70909823
"INDO BOWFLEX GEMILANG CO., LTD",62-302-64613
INDO ETNIQUE,62-31-5023723
INDO FURNITAMA RAYA,62-343-424470
INDO GOLDEN TRADES,62-31-60170097
INDO GOLDEN TRADES1,62-31-60170097
INDO JAYA AGRO,62-333-593469
INDO MARINE CENTER,62-31-5993668
INDO METAL,62-81-615036599
INDO PRIMA,62-031-532.6655 / 534.5252
INDO SARDINE,62-333-590359
INDO SEAWEED,62-31-60216690
INDO TRADING,62-21-71235055
INDO TYRE,62-81-60239900
INDOBAG TRADING COMPANY,62-81-8337217
INDOCITAGRO,62-341-469879
INDOCITRA JAYA SAMUDRA,62-31-70110000
INDOGPS,62-31-70478310
INDONESIA FURNITURES,+62-343-852686
INDONESIA HANDICRAFT,62-321-7262671
INDONESIA HIJAU,62-031-60120921
Undefined,62-031-60120921
Undefined,62-031-60120921
INDONESIAN CRAFT,62-31-7882675
INDONESIAN WOOD WORKING & MANUFACTURING,62-81-1309332
INDONETS OR ANUGERAH PTY LTD,62-31-60359350
INDOPAPER TRADING COMPANY,62-81-8337217
INDOTAMA AUTOMATION,62--08175299488
INDOTRADER,62-0274-411016
INDRAFOOD,62-31-5946355
INDRAMURTI INTERNATIONAL ENT.CO.LTD,62-341-323394
INDUSTRI COLLAGEN INDONESIA,62-343-614100
INJOKO,"62-31-8290901,8290902,8287559,8287560"
INNOVA PROSPEKSINDO,62-31-8988300
INTI DRAGON SURYATAMA PT,62-0321-321966
"INTIKARSA MANDIRI, PT",62-031-71370171
JADE IMPERIAL,62-31-7328477
JADE STONE,62-0341-567323
JALADA CABDA,62--81542529816
JASMINE ART GALERY,62-031-70904808
JATIM PRIMA COAL,62-031-8662386
"JATIMAKMUR,CV",62-0343-426849
JAVA MOTOR SERVICE & SPARE PARTS,62-021-7705871
JAVA NETWORK,62-31-70519556
JAVA ORIENTAL STONE AND BRONZE,62-0321-491220
JAVA TRADE,62-31-70116613
JAVA TRADING COMPANY,62-341-7659845
JAVAGLOBALINDO,62-031-60223360
JAVAINDO FIBER,62-031-70398766
JAWI AJI GROUP,62-31-70101747
JAYA CEMERLANG,62--3417013808
JAYA JEWELRY,62-81330-208338
JAYA MAKMUR,62-031-71274242
JAYA REMAJA PLASTIK,62-31-7483335
JAYA REMAJA TRADING,62-31-7483335
JAYA SURYA TIMUR,62-31-7345800
JAY'S VIGOURS,62-0341-596274
JB ELEKTRONIK,62-031-8708804
JELOGRO ART,62-31-8416017
JEMBER JATI,62-331-7706211
JEMBER TOBACCO,62-812-3451676
JEWEL INC.,62-31-8491000
JHS AQUAFARM,62-811-341698
"JIBC CO., LTD",62-31-8549670
"JIKO CO., LTD",62-333-423276
JING SHUEN INDONESIA,+62-31-8543465
JOSHUA GROSIR,62-31-3556538
"KALSITECH PRIMA, PT.",62-31-70101080
KARINA ART DESIGN,62-031-71015300
KARTIKA GRAHA,62-553-730293
KARUNIA JAYA LESTARI,62-031-8290977
KARYA AGUNG INDONESIA,62-31-72091814
KARYA IDAMAN BERSAMA INC.,62-343-639797
KARYAMAS TEAK GARDEN & HOME FURNITURE CO,62-333-423515
KASIN LEATHERS,62-341-541-9150
KAYU INDAH INDONESIA ANTIQUE FURNITURE,62-343-414140
KAYU MURNI,62-31-70490574
KAYUMAS,65--98208804 (+62-65--98208804)
"KEDAWUNG SETIA CORRUGATED CARTON BOX INDUSTRIAL PT,",62-31-7661971
KEMAS ABADI CV,62-31-5928646
"KENCANA INTAN CIPTA, CV",62-343-639369
"KERNEL INDONESIA POTENTIAL,PT",62-31-7994046
KING STONE,62-31-70469898
KNITA DOLL,62-81-21650883
KOERASI FAJAR SODIQ,62-354-393749
KORIN INTI WIRA ENGINEERING,62-31-8706492
KRY LIMITED,62-31-5316322
KUDA LAUT,62-31-3892780
KURNIA,62-31-5345280
KURNIA 1000 TRADE,62-31-71382056
KURNIA INDAH MANDIRI,62-31-7099 5649
KURNIA TRADING CO.,62-31-8556422
KURNIAWAN,62-31-8556422
KURNIAWAN ABADI,62-31-70979097
KV COOPORATION,62-341-568693
LANCAR GLOBALINDO,62-31-5672058
LEV1T,62-31-70606402
LEXAR CV.,+62-31-71866755
LG FISH,62-725-88156
LIGHT COMPUTER CENTRE,62-31504-3518
LIGHT INTERMULTIMEDIA,62-0341-7019719
LINGGAJAYA PERSADA,62-88-83009006
LINK PERKASA,62-31-70223349
LIN'S CRAFT,62-31-8964056
LINTANG SAMUDRA,62-031-3554151
"LINTAS BENUA, PT.",62-31-70575818
LINTAS UTAMA,62-31-5325754
LIQUERA PRODUCTIONS,62-31731-6989
LIU UNITED CORPORATION PTE LTD,62-31-70663887
"LOMBOK PUMICE STONE, PT",62-31-8299709
LINTAS JAYA SEMESTA / CK KOMPUTER,62-31-5481006
LUNGHAI,62-031-70109612
"MAGNA, INC.",62-81-21600888
MAHADANA SURAYA,62-31-70071923
MAJU BERSAMA CV,62-31-70694493
MAKMUR ABADI,62-331-487792
MAKMUR META GRAHA DINAMIKA,62-031-7325515
MAKMUR MULTI ARTHA,62-31-71040788
MALANG COOPERATION,62-0341-5407040
MALINDO CORPORATION,62-31-8722018
MANDALA GROUP,62-31-71990703
MANDALINDO TATA PERKASA PT,62-321-363102
MANDIRI JAYA,62-31-70816151
MANDIRI JAYA,62-31-3571412
MANDIRI PRATAMA .CV,62-031-7411874
MANDIRI USAHA COGEFENT CO,62-31-70378244
MANGGALA JAYA PT.,62-31-70518730
MARCO MARIO,62-31-70980376
"MARDIKA SARANA ENGINEERING, PT",62-31-8434184
MARINI,62-31-8673111
MARITIM INDONESIA JAYA,62-31-71182378
MAS FOOD DISTRIBUTOR,062-354-478418
MASPION GROUP,62-31-60188888
MASPION GROUP/ UNIVERSITY OF TEXAS AUSTIN,62-31-3979371
MAWANKOPRA,62-341-7779895
MAXITRADE,62-31-7408420
MAXXINDO,62-341-558051
MAYERSON & CO,62-31-331065633
MEDIA GARMENT MANUFACTURES,"62-31-8438735, 70995083"
MENAHUA JAYA,62-31-5681117
MIKATASA AGUNG,62-31-8438427
MILANO DECOR,62-031-5320006
MINK. LTD,62-81330-208338
MIRAE INDONESIA,62-321-615119
MIRAGE INDONESIA,62-31-5994335
MIRAH TRADE AGENCY,62-31-70737800
MIRICINDE TEKNIK,62-031-3735644
MITRA AGRO PERKASA,62-31-70740808
MITRA ANUGERAH PRATAMA,62-321-326451
MITRA GRAND MEDIA,62-716-11892
MITRA HSD,62-81-803060870
MITRA MANDIRI,62-511-7525087
MITRA MANDIRI GROUP,62-31-70109652
MITRA PERDANA MANDIRI,62-31-8662940
MITRA SURUTA INDONESIA,62-31-897 7777
MITRA UTAMA SEJAHTERA,62-31-70581642
MITRACO SURYA,62-31-8703377
MNM MITRA MANDIRI,62-31-5682009
MOLINDO RAYA INDUSTRIAL,61-3-97060570 (+62-61-3-97060570)
MONEN MULIYA MANDIRI,62-21-4263245
MUKHLASON CORPORATION,62-818-223062
"MULTI BIZ MEDIA, CV",62-31-8295317
MULTIGRAPH,62-31-389-1088
MULTILINE,62-31-8961478
MULTISTONE,62-031-60105810
MUTIA,62-31-3284545
MUTIARA,62-31-8711076
MUV AD,62-31-70366948
NAMBO,62-31-5313851
NAPOLEON CORP,62-31-5319765
NAPTA SEJAHTERA,62-031-7407070
NASJAY,62--888 311 0422
NATURA DUA RASA,62--818877753
NAZACOMP,62-031-7417148
NDIWAK,62-88-2822441
NEOJAVA,+62-31-70509082
NETANIA KASIH KARUNIA,62-31-5613285
"NEW MOTORBIKE PARTS CO.,LTD",62-31--8014662
NGAGEL TAMA,62-31-5042024
NOW COMMODITY,62-31-60103775
NUCNEW,62-31-70639933
NUSANTARA KUSUMA,62-31-5467430
NUSANTARA TRADING,62-31-8714813
OCEAN COMPUTER,62-31-60112553
OMEGA JOBEL INDONESIA,62-31-60220978
